PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=127 time=29.2 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=127 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=127 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=127 time=39.6 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=127 time=38.3 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=127 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=127 time=34.4 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=127 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=127 time=36.8 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=127 time=31.6 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=127 time=56.2 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=127 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=127 time=73.6 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=127 time=53.4 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=127 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=127 time=59.3 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=127 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=127 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=127 time=32.8 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=127 time=20.0 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=127 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=127 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=127 time=21.1 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=127 time=34.7 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=127 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=127 time=32.3 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=127 time=38.3 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=127 time=26.5 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=127 time=39.5 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=127 time=52.5 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=127 time=41.2 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=127 time=28.3 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=127 time=44.6 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=127 time=53.7 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=127 time=51.0 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=127 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=127 time=31.3 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=127 time=45.6 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=127 time=54.7 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=127 time=18.4 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=127 time=35.7 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=127 time=38.8 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=127 time=38.0 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=127 time=30.2 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=127 time=148 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=127 time=115 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=127 time=121 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=127 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=127 time=55.6 ms

--- 8.8.8.8 ping statistics ---
50 packets transmitted, 49 received, 2% packet loss, time 49094ms
rtt min/avg/max/mdev = 18.378/42.468/148.071/25.026 ms
